name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Программист PHP (symfony 2),,70000.0,80000.0,RUR,Санкт-Петербург,2014-09-20T12:55:21+0400
PHP-программист (backend-developer),,60000.0,80000.0,RUR,Москва,2014-09-20T12:34:58+0400
Senior/Middle backend developer,,,,,Минск,2014-07-10T12:01:23+0400
"Для проекта на yii, требуется программист",,200000.0,200000.0,RUR,Самара,2014-05-21T13:03:10+0400
Программист web-backend (стажёр),"Веб-программирование
MySQL
PHP
ООП
JavaScript
Node.js",,,,Санкт-Петербург,2015-07-29T15:58:18+0300
Веб-разработчик backend/full stack (C#),"C#
Backend
JavaScript
HTML
CSS
Web Services",90000.0,150000.0,RUR,Москва,2015-07-29T21:48:48+0300
C#.Net разработчик (backend),,50000.0,100000.0,RUR,Санкт-Петербург,2015-04-09T15:37:11+0300
Middle Java developer (backend),,,,,Москва,2015-04-10T09:33:38+0300
Senior Java developer (backend),,,,,Москва,2015-04-10T09:34:14+0300
Разработчик python\django,,,,,Нижний Новгород,2015-04-06T09:49:26+0300
"Python- разработчик (django, bootstrap)","Python
Django Framework
Bootstrap
Git
PostgreSQL
MySQL
API",,,,Москва,2015-12-02T17:54:05+0300
PHP backend разработчик,,,120000.0,RUR,Симферополь,2015-09-08T10:46:17+0300
"PHP-разработчик, yii фреймворк",,,,,Нижний Новгород,2015-10-23T10:07:29+0300
"PHP-программист (backend-developer, Team lead)",,,,,Москва,2015-09-16T13:31:42+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Санкт-Петербург,2015-09-01T15:33:08+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Санкт-Петербург,2015-09-01T15:33:08+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Великий Новгород,2015-08-18T18:51:24+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Великий Новгород,2015-08-18T18:51:24+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Мурманск,2015-08-18T18:51:24+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Мурманск,2015-08-18T18:51:24+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Псков,2015-08-18T18:51:24+0300
Senior backend python django developer,"Python
Django Framework",100000.0,150000.0,RUR,Псков,2015-08-18T18:51:24+0300
PHP/MySQL backend-разработчик,,,55000.0,RUR,Москва,2015-07-15T15:59:02+0300
Senior backend-разработчик,"C/C++
Python",,,,Орел,2015-08-05T10:52:42+0300
Senior backend-разработчик,"C/C++
Python",,,,Орел,2015-08-05T10:57:22+0300
Разработчик Java (backend software developer),,40000.0,60000.0,RUR,Новосибирск,2015-05-13T11:18:31+0300
Middle backend php developer,,,,,Киев,2015-09-28T16:27:05+0300
Программист Python (backend-разработка),,,,,Москва,2015-05-14T11:31:00+0300
